rank,name,repo_url,total,fft_dependency,spectral_processing_intensity,discontinuity_frequency,artifact_sensitivity
1,mozjpeg,https://github.com/mozilla/mozjpeg,0.2530,0.1000,0.2800,0.2800,0.4600
2,opensbli,https://github.com/opensbli/opensbli,0.2530,0.2800,0.4600,0.1000,0.1000
3,libwebp,https://github.com/webmproject/libwebp,0.1990,0.2800,0.1000,0.2800,0.1000
4,Opus reference implementation (libopus),https://github.com/xiph/opus,0.1990,0.2800,0.1000,0.2800,0.1000
5,libheif (HEIF/AVIF),https://github.com/strukturag/libheif,0.1810,0.1000,0.2800,0.2800,0.1000
6,CompressAI (learned image compression),https://github.com/InterDigitalInc/CompressAI,0.1810,0.1000,0.2800,0.2800,0.1000
7,OpenMMLab image compression (mmediting / mmdetection side projects),,0.1720,0.1000,0.1000,0.2800,0.2800
8,BART (Berkeley Advanced Reconstruction Toolbox),https://github.com/mrirecon/bart,0.1720,0.1000,0.1000,0.2800,0.2800
9,ImageMagick,https://github.com/ImageMagick/ImageMagick,0.1630,0.2800,0.1000,0.1000,0.1000
10,libpng,https://github.com/glennrp/libpng,0.1450,0.1000,0.2800,0.1000,0.1000
11,libjpeg‑turbo,https://github.com/libjpeg-turbo/libjpeg-turbo,0.1360,0.1000,0.1000,0.2800,0.1000
12,direct (Deep learning framework for MRI reconstruction),https://github.com/NKI-AI/direct,0.1360,0.1000,0.1000,0.2800,0.1000
13,OpenFOAM (community mirror),https://github.com/OpenFOAM/OpenFOAM-11 (or latest mainline),0.1360,0.1000,0.1000,0.2800,0.1000
14,LAME MP3 encoder,https://github.com/RoRoche/lame (active mirror of LAME),0.1000,0.1000,0.1000,0.1000,0.1000
15,fourier-drawing (example JS epicycle demo),https://github.com/jesseyb/root-two-fourier (or any of several “fourier drawing” repos),0.1000,0.1000,0.1000,0.1000,0.1000
